,index,Unnamed: 0,iso_code,region_group,income_group,country,survey,year,level,grade,category,sex,location,wealth,region,ethnicity,religion,language,disability,hh_edu_head,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
0,42830,42831,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity,,,,,Bicolano,,,,,,,,0.899800002574921,0.533399999141693,0.572099983692169,,,,,,,,,,36.0,36.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42831,42832,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity,,,,,Cebuano,,,,,0.811200022697449,0.685599982738495,0.655900001525879,0.943400025367737,0.679300010204315,0.774200022220612,,0.0,0.0,,,,60.0,48.0,46.0,156.0,156.0,109.0,66.0,66.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42832,42833,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity,,,,,Ilocano,,,,,,,,0.910700023174286,0.732999980449677,0.828000009059906,,,,,,,,,,65.0,65.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42833,42834,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity,,,,,Ilonggo,,,,,,,,0.972299993038177,0.654500007629395,0.820999979972839,,,,,,,,,,70.0,70.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42834,42835,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity,,,,,Tagalog,,,,,0.963100016117096,0.794200003147125,0.829599976539612,0.951499998569489,0.821300029754639,0.873700022697449,,0.0100999996066093,0.0100999996066093,,,,62.0,85.0,85.0,222.0,222.0,158.0,97.0,97.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,42835,42836,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location,,Rural,,,,,,,,0.797100007534027,0.578999996185303,0.524999976158142,0.83840000629425,0.548799991607666,0.557399988174438,,0.033500000834465,0.0815000012516975,,,,2453.0,1924.0,1805.0,6036.0,6036.0,4936.0,2537.0,2537.0,2537.0,,,,,,,,0.0891000032424927,3703.0,0.868300020694733,2356.0,0.927999973297119,1063.0,0.238600000739098,2147.0,0.13570000231266,2147.0,0.120999999344349,1841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42836,42837,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location,,Urban,,,,,,,,0.905499994754791,0.768700003623962,0.74370002746582,0.946799993515015,0.741900026798248,0.77920001745224,,0.0046000001020729,0.0132999997586012,,,,1704.0,1739.0,1626.0,5299.0,5299.0,4642.0,2403.0,2403.0,2403.0,,,,,,,,0.0564999990165234,2587.0,0.936900019645691,2435.0,0.958400011062622,1452.0,0.417600005865097,2135.0,0.267800003290176,2135.0,0.263700008392334,1889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,42837,42838,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity & Location,,Rural,,,Cebuano,,,,,0.752799987792969,,,0.875199973583221,0.591899991035461,0.681900024414062,,,,,,,34.0,,,60.0,60.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,42838,42839,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity & Location,,Rural,,,Tagalog,,,,,,,,0.890399992465973,0.758099973201752,,,,,,,,,,,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,42839,42840,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity & Location,,Urban,,,Cebuano,,,,,,0.71780002117157,0.648100018501282,0.980000019073486,0.726199984550476,0.822799980640411,,0.0,0.0,,,,,36.0,34.0,96.0,96.0,66.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,42840,42841,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity & Location,,Urban,,,Ilocano,,,,,,,,0.897000014781952,0.759800016880035,,,,,,,,,,,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,42841,42842,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity & Location,,Urban,,,Ilonggo,,,,,,,,1.0,0.692200005054474,0.890500009059906,,,,,,,,,,49.0,49.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,42842,42843,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Ethnicity & Location,,Urban,,,Tagalog,,,,,0.974399983882904,0.804899990558624,0.856500029563904,0.962800025939941,0.833100020885468,0.886099994182587,,0.0,0.0,,,,46.0,74.0,75.0,186.0,186.0,131.0,82.0,82.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,42843,42844,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Religion,,Rural,,,,Catholic,,,,0.853500008583069,0.710300028324127,0.748799979686737,0.885500013828278,0.646399974822998,0.67220002412796,,0.0548000000417233,0.066600002348423,,,,97.0,49.0,46.0,182.0,182.0,123.0,71.0,71.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,42844,42845,PHL,Eastern and South-eastern Asia,Lower middle income,Philippines,DHS,2008,,1,Location & Religion,,Urban,,,,Catholic,,,,0.898699998855591,0.786300003528595,0.777199983596802,0.957599997520447,0.771700024604797,0.845399975776672,,0.0,0.0,,,,111.0,159.0,151.0,401.0,401.0,268.0,165.0,165.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
